start_id,end_id,type
W1583837637,A5005003250,WRITTEN_BY
W1583837637,A5080591144,WRITTEN_BY
A5080591144,I2801032651,AFFILIATED_WITH
W1583837637,C2777601897,RELATED_TO
W1583837637,C161191863,RELATED_TO
W1583837637,C41008148,RELATED_TO
W1583837637,C509550671,RELATED_TO
W1583837637,C71924100,RELATED_TO
W1583837637,C126838900,RELATED_TO
W2131241448,A5112347601,WRITTEN_BY
A5112347601,I185261750,AFFILIATED_WITH
W2131241448,A5019862529,WRITTEN_BY
A5019862529,I135117807,AFFILIATED_WITH
W2131241448,A5007769527,WRITTEN_BY
A5007769527,I136199984,AFFILIATED_WITH
W2131241448,C2778049539,RELATED_TO
W2131241448,C41008148,RELATED_TO
W2131241448,C107673813,RELATED_TO
W2131241448,C119857082,RELATED_TO
W2131241448,C154945302,RELATED_TO
W2131241448,C2987595161,RELATED_TO
W2131241448,C11413529,RELATED_TO
W2131241448,C126255220,RELATED_TO
W2131241448,C33923547,RELATED_TO
W114517082,A5019206666,WRITTEN_BY
A5019206666,I20089843,AFFILIATED_WITH
W114517082,C206688291,RELATED_TO
W114517082,C41008148,RELATED_TO
W114517082,C2778755073,RELATED_TO
W114517082,C194387892,RELATED_TO
W114517082,C153258448,RELATED_TO
W114517082,C177264268,RELATED_TO
W114517082,C115903097,RELATED_TO
W114517082,C2779343474,RELATED_TO
W114517082,C198531522,RELATED_TO
W114517082,C154945302,RELATED_TO
W114517082,C11413529,RELATED_TO
W114517082,C126255220,RELATED_TO
W114517082,C119857082,RELATED_TO
W114517082,C33923547,RELATED_TO
W114517082,C77967617,RELATED_TO
W114517082,C50644808,RELATED_TO
W114517082,C151730666,RELATED_TO
W114517082,C185592680,RELATED_TO
W114517082,C121332964,RELATED_TO
W114517082,C62520636,RELATED_TO
W114517082,C43617362,RELATED_TO
W114517082,C86803240,RELATED_TO
W114517082,C199360897,RELATED_TO
W1680797894,A5015779172,WRITTEN_BY
A5015779172,I31746571,AFFILIATED_WITH
W1680797894,A5058054791,WRITTEN_BY
W1680797894,C148863701,RELATED_TO
W1680797894,C41008148,RELATED_TO
W1680797894,C154945302,RELATED_TO
W1680797894,C2522767166,RELATED_TO
W1680797894,C161191863,RELATED_TO
W1541288193,A5110057218,WRITTEN_BY
A5110057218,I17301866,AFFILIATED_WITH
W1541288193,A5071875770,WRITTEN_BY
A5071875770,I27837315,AFFILIATED_WITH
W1541288193,C33923547,RELATED_TO
W1541288193,C154945302,RELATED_TO
W1541288193,C41008148,RELATED_TO
W3198350258,A5103515726,WRITTEN_BY
